Need help pleese,assist
Need help,assist
I need some info,assist
Will you help me?,assist
What else can you do?,assist
What do you do?,assist
What can you help me with?,assist
What can you do?,assist
What are you good at?,assist
Need help plz,assist
How can you help me,assist
Can you help me?,assist
How can you assist?,assist
How can you help me?,assist
How do you help?,assist
How to help you?,assist
How will you assist me?,assist
i need help,assist
Can you tell some info,assist
Help me please,assist
Is this a bot?,bot
Is there a bot chatting to me?,bot
Is it automated message?,bot
Computer based pely,bot
Bot or human?,bot
Bot is chatting with me?,bot
Are you system generated message?,bot
Are you robot?,bot
Are you machine?,bot
Are you just computer?,bot
Are you a robot?,bot
Are you a person?,bot
Are you a machine?,bot
Are you a chatbot?,bot
Are you a bot?,bot
Are these automated messages?,bot
Am I talking to a bot?,bot
You are a boy are girl?,bot
You are a bot or human?,bot
This is a machine?,bot
This is a chatbot?,bot
System generated reply,bot
Sir you system genretrd,bot
Is this computer based response,bot
Is this a machine?,bot
Are you a human?,bot
Hows life?,how
How was your day?,how
How you doin?,how
Whats up?,how
What's happening?,how
Kya chal raha?,how
Wassup?,how
How you doing?,how
Are you fine?,how
Are you good?,how
How are you?,how
How are you doing?,how
Only providing my number,just_details
Only providing my email,just_details
Only providing my contact details,just_details
Only here to give my contact,just_details
i am just here to provide my number,just_details
i am just here to provide my details,just_details
Who are youu?,name
What can I call you?,name
Your name?,name
Can you tell me your name?,name
Are you there?,name
Any one there?,name
What is your name?,name
are you abir?,name
Is anyone there?,name
Your name is?,name
Who is chatting?,name
Tell me about your self?,name
Who are you?,name
Who am I chatting with?,name
What's your name?,name
What should I say as your name?,name
Tell me your name?,name
What are you called?,name
No I will not give the information.,not_giving
No. Cannot give you.,not_giving
I don't want to tell,not_giving
I don't want to,not_giving
I don't think so,not_giving
Don't have it as of now.,not_giving
Cannot tell you,not_giving
Won't tell,not_giving
Won't give you,not_giving
Sorry but I won't,not_giving
Right now I don't have it.,not_giving
I have a question,query
Need to aska query,query
I have a question for you,query
HAving a query,query
I have a query for you,query
I have a query,query
Have a query for you,query
Wait for two minutes,wait
will you please wait,wait
Can you  please wait,wait
Please wait,wait
Wait for some time,wait
Want you to wait for me,wait
Can you wait for two minutes,wait
Connect me to the support of abcd company,contact
I want a call back from you,contact
Please tell me your tollfree number ?,contact
Please tell me your mobile number?,contact
Address of your company?,contact
Address of abcd company?,contact
How to reach out to abcd company team?,contact
How to get in touch with your team?,contact
Your team can be reached how?,contact
Your helpline number?,contact
Your company's address?,contact
How to meet you,contact
Your email address to reach?,contact
You have any branch at kolkata?,contact
How contact representative?,contact
How do i contact you?,contact
How to get in touch with the your team?,contact
How to contact you?,contact
What is your helpline number?,contact
Which number I should call to reach you?,contact
Which number can I call to discuss?,contact
Which email should I use to reach to you?,contact
Which email I must use to reach to you?,contact
Give me your number need to speak,contact
Give me your mobile no,contact
Give me the mobile number and i will call you,contact
Email I must use to co-ordinate with you,contact
Getting in touch,contact
I need help. Connect me with support.,contact
Need a telephonic call,contact
Need a person to chat with me,contact
Need human agent,contact
Need customer care,contact
Guide me please regarding the loan?,contact
Contact me on my personal number 9999999999,contact
Did not solved my query,contact
Contact me please,contact
Guide me please,contact
Call me later,contact
Call me at my phone number?,contact
